"start_lat","start_lon","end_lat","end_lon","movement_geometry","length_km","start_polygon_id","end_polygon_id","start_polygon_name","end_polygon_name","polygon_level","polygon_version","country","date_time","n_baseline","n_crisis","n_difference","percent_change","clipped_z_score","ds"
"33.19520491602086","72.72306554874687","27.493773199641932","65.73513763364258","LINESTRING (72.72306554874687 33.19520491602086, 65.73513763364258 27.493773199641932)","922.330449230117","PAK.7.7_1","PAK.2.1_1","Rawalpindi","Kalat","GADM2","3.6","PK","2022-09-02 16:00","","","","","","2022-09-02"
"33.19520491602086","72.72306554874687","27.895334562554417","68.34847452964398","LINESTRING (72.72306554874687 33.19520491602086, 68.34847452964398 27.895334562554417)","722.8566328473551","PAK.7.7_1","PAK.8.3_1","Rawalpindi","Larkana","GADM2","3.6","PK","2022-09-02 16:00","","","","","","2022-09-02"
"33.19520491602086","72.72306554874687","25.222414194595153","69.82002142729421","LINESTRING (72.72306554874687 33.19520491602086, 69.82002142729421 25.222414194595153)","930.0969180345677","PAK.7.7_1","PAK.8.4_1","Rawalpindi","Mirpur Khas","GADM2","3.6","PK","2022-09-02 16:00","","","","","","2022-09-02"
"27.43704665264957","68.8807568501547","27.03982980235053","69.0210887094943","LINESTRING (68.8807568501547 27.43704665264957, 69.0210887094943 27.03982980235053)","46.29627277178138","PAK.8.5_1","PAK.8.6_1","Rann of Kutch","Sukkur","GADM2","3.6","PK","2022-09-02 16:00","","","","","","2022-09-02"
"27.43704665264957","68.8807568501547","27.493773199641932","65.73513763364258","LINESTRING (68.8807568501547 27.43704665264957, 65.73513763364258 27.493773199641932)","310.4096119491837","PAK.8.5_1","PAK.2.1_1","Rann of Kutch","Kalat","GADM2","3.6","PK","2022-09-02 16:00","","","","","","2022-09-02"
"30.022478285382874","70.54930191944253","30.125238653918725","72.23541496058307","LINESTRING (70.54930191944253 30.022478285382874, 72.23541496058307 30.125238653918725)","162.64832009642313","PAK.7.2_1","PAK.7.6_1","Dera Ghazi Khan","Multan","GADM2","3.6","PK","2022-09-02 16:00","222.27845191987936","265.0","42.72154808012064","19.133753263145483","0.953912244392452","2022-09-02"
"31.212249025737595","73.94344561103003","26.114871247960583","63.45987406471992","LINESTRING (73.94344561103003 31.212249025737595, 63.45987406471992 26.114871247960583)","1168.560732916808","PAK.7.5_1","PAK.2.2_1","Lahore","Makran","GADM2","3.6","PK","2022-09-02 16:00","","","","","","2022-09-02"
"31.212249025737595","73.94344561103003","32.93234229426058","70.79861448797378","LINESTRING (73.94344561103003 31.212249025737595, 70.79861448797378 32.93234229426058)","352.6577100186481","PAK.7.5_1","PAK.5.3_1","Lahore","F.A.T.A.","GADM2","3.6","PK","2022-09-02 16:00","","","","","","2022-09-02"
"27.895334562554417","68.34847452964398","32.68247021464708","70.79360871430961","LINESTRING (68.34847452964398 27.895334562554417, 70.79360871430961 32.68247021464708)","581.7222918340434","PAK.8.3_1","PAK.5.1_1","Larkana","Bannu","GADM2","3.6","PK","2022-09-02 16:00","","","","","","2022-09-02"
"27.895334562554417","68.34847452964398","25.32310038372032","68.0513634220865","LINESTRING (68.34847452964398 27.895334562554417, 68.0513634220865 25.32310038372032)","287.54058586523627","PAK.8.3_1","PAK.8.1_1","Larkana","Hyderabad","GADM2","3.6","PK","2022-09-02 16:00","37.142857142857146","29.0","-8.142857142857146","-21.348314606741578","-0.5434901455178809","2022-09-02"
"27.895334562554417","68.34847452964398","33.32403865221535","71.2456287788584","LINESTRING (68.34847452964398 27.895334562554417, 71.2456287788584 33.32403865221535)","664.1825214281023","PAK.8.3_1","PAK.5.5_1","Larkana","Kohat","GADM2","3.6","PK","2022-09-02 16:00","","","","","","2022-09-02"
"33.6692247086546","73.06666567556829","29.488334147075516","68.57004866839137","LINESTRING (73.06666567556829 33.6692247086546, 68.57004866839137 29.488334147075516)","630.3754231751159","PAK.4.1_1","PAK.2.5_1","Islamabad","Sibi","GADM2","3.6","PK","2022-09-02 16:00","","","","","","2022-09-02"
"28.78299391530157","67.8281987215831","27.43704665264957","68.8807568501547","LINESTRING (67.8281987215831 28.78299391530157, 68.8807568501547 27.43704665264957)","181.81087187875167","PAK.2.3_1","PAK.8.5_1","Nasirabad","Rann of Kutch","GADM2","3.6","PK","2022-09-02 16:00","","","","","","2022-09-02"
"28.78299391530157","67.8281987215831","28.848917939976854","71.63772667830045","LINESTRING (67.8281987215831 28.78299391530157, 71.63772667830045 28.848917939976854)","371.20386646393064","PAK.2.3_1","PAK.7.1_1","Nasirabad","Bahawalpur","GADM2","3.6","PK","2022-09-02 16:00","","","","","","2022-09-02"
"28.78299391530157","67.8281987215831","32.33316289585532","74.07475121428519","LINESTRING (67.8281987215831 28.78299391530157, 74.07475121428519 32.33316289585532)","716.4186734271907","PAK.2.3_1","PAK.7.4_1","Nasirabad","Gujranwala","GADM2","3.6","PK","2022-09-02 16:00","","","","","","2022-09-02"
"28.78299391530157","67.8281987215831","30.87994725044581","68.96663058059505","LINESTRING (67.8281987215831 28.78299391530157, 68.96663058059505 30.87994725044581)","257.7306039342873","PAK.2.3_1","PAK.2.6_1","Nasirabad","Zhob","GADM2","3.6","PK","2022-09-02 16:00","","","","","","2022-09-02"
"28.78299391530157","67.8281987215831","29.377445454266713","64.30346882797684","LINESTRING (67.8281987215831 28.78299391530157, 64.30346882797684 29.377445454266713)","348.8298988804946","PAK.2.3_1","PAK.2.4_1","Nasirabad","Quetta","GADM2","3.6","PK","2022-09-02 16:00","","","","","","2022-09-02"
