"start_latitude","start_longitude","end_latitude","end_longitude","movement_geometry","length_km","start_polygon_id","end_polygon_id","start_polygon_name","end_polygon_name","polygon_level","polygon_version","country","date_time","n_baseline","n_crisis","n_difference","percent_change","z_score","ds"
"30.022478285382874","70.54930191944253","29.377445454266713","64.30346882797684","LINESTRING (70.54930191944253 30.022478285382874, 64.30346882797684 29.377445454266713)","607.439738922427","PAK.7.2_1","PAK.2.4_1","Dera Ghazi Khan","Quetta","GADM2","3.6","PK","2022-09-07 08:00","","","","","","2022-09-07"
"32.93234229426058","70.79861448797378","31.209905085174274","72.62371843417888","LINESTRING (70.79861448797378 32.93234229426058, 72.62371843417888 31.209905085174274)","257.3928150753201","PAK.5.3_1","PAK.7.3_1","F.A.T.A.","Faisalabad","GADM2","3.6","PK","2022-09-07 08:00","","","","","","2022-09-07"
"32.93234229426058","70.79861448797378","28.848917939976854","71.63772667830045","LINESTRING (70.79861448797378 32.93234229426058, 71.63772667830045 28.848917939976854)","461.0564656534313","PAK.5.3_1","PAK.7.1_1","F.A.T.A.","Bahawalpur","GADM2","3.6","PK","2022-09-07 08:00","","","","","","2022-09-07"
"30.022478285382874","70.54930191944253","33.32403865221535","71.2456287788584","LINESTRING (70.54930191944253 30.022478285382874, 71.2456287788584 33.32403865221535)","372.98095818594834","PAK.7.2_1","PAK.5.5_1","Dera Ghazi Khan","Kohat","GADM2","3.6","PK","2022-09-07 08:00","","","","","","2022-09-07"
"30.022478285382874","70.54930191944253","28.78299391530157","67.8281987215831","LINESTRING (70.54930191944253 30.022478285382874, 67.8281987215831 28.78299391530157)","297.4417619251551","PAK.7.2_1","PAK.2.3_1","Dera Ghazi Khan","Nasirabad","GADM2","3.6","PK","2022-09-07 08:00","","","","","","2022-09-07"
"32.93234229426058","70.79861448797378","33.32403865221535","71.2456287788584","LINESTRING (70.79861448797378 32.93234229426058, 71.2456287788584 33.32403865221535)","60.247232224598804","PAK.5.3_1","PAK.5.5_1","F.A.T.A.","Kohat","GADM2","3.6","PK","2022-09-07 08:00","11.285714285714286","18.0","6.7142857142857135","54.65116279069766","1.5442379171851257","2022-09-07"
"33.170013305044215","70.3861612705621","25.32310038372032","68.0513634220865","LINESTRING (70.3861612705621 33.170013305044215, 68.0513634220865 25.32310038372032)","901.3758309414768","PAK.3.1_1","PAK.8.1_1","F.A.T.A.","Hyderabad","GADM2","3.6","PK","2022-09-07 08:00","","","","","","2022-09-07"
"32.93234229426058","70.79861448797378","25.32310038372032","68.0513634220865","LINESTRING (70.79861448797378 32.93234229426058, 68.0513634220865 25.32310038372032)","887.0769701478225","PAK.5.3_1","PAK.8.1_1","F.A.T.A.","Hyderabad","GADM2","3.6","PK","2022-09-07 08:00","","","","","","2022-09-07"
"32.93234229426058","70.79861448797378","27.493773199641932","65.73513763364258","LINESTRING (70.79861448797378 32.93234229426058, 65.73513763364258 27.493773199641932)","775.9172764019955","PAK.5.3_1","PAK.2.1_1","F.A.T.A.","Kalat","GADM2","3.6","PK","2022-09-07 08:00","","","","","","2022-09-07"
"32.93234229426058","70.79861448797378","29.377445454266713","64.30346882797684","LINESTRING (70.79861448797378 32.93234229426058, 64.30346882797684 29.377445454266713)","733.4076612862895","PAK.5.3_1","PAK.2.4_1","F.A.T.A.","Quetta","GADM2","3.6","PK","2022-09-07 08:00","","","","","","2022-09-07"
"32.93234229426058","70.79861448797378","28.78299391530157","67.8281987215831","LINESTRING (70.79861448797378 32.93234229426058, 67.8281987215831 28.78299391530157)","541.4755557509491","PAK.5.3_1","PAK.2.3_1","F.A.T.A.","Nasirabad","GADM2","3.6","PK","2022-09-07 08:00","","","","","","2022-09-07"
"30.022478285382874","70.54930191944253","25.32310038372032","68.0513634220865","LINESTRING (70.54930191944253 30.022478285382874, 68.0513634220865 25.32310038372032)","577.4961223945052","PAK.7.2_1","PAK.8.1_1","Dera Ghazi Khan","Hyderabad","GADM2","3.6","PK","2022-09-07 08:00","","","","","","2022-09-07"
"32.93234229426058","70.79861448797378","27.03982980235053","69.0210887094943","LINESTRING (70.79861448797378 32.93234229426058, 69.0210887094943 27.03982980235053)","677.1757959276524","PAK.5.3_1","PAK.8.6_1","F.A.T.A.","Sukkur","GADM2","3.6","PK","2022-09-07 08:00","","","","","","2022-09-07"
"29.488334147075516","68.57004866839137","32.68247021464708","70.79360871430961","LINESTRING (68.57004866839137 29.488334147075516, 70.79360871430961 32.68247021464708)","413.46942592466513","PAK.2.5_1","PAK.5.1_1","Sibi","Bannu","GADM2","3.6","PK","2022-09-07 08:00","","","","","","2022-09-07"
"31.93734049108809","70.62908633221942","29.377445454266713","64.30346882797684","LINESTRING (70.62908633221942 31.93734049108809, 64.30346882797684 29.377445454266713)","668.5128820915222","PAK.5.2_1","PAK.2.4_1","Dera Ismail Khan","Quetta","GADM2","3.6","PK","2022-09-07 08:00","","","","","","2022-09-07"
"32.93234229426058","70.79861448797378","31.212249025737595","73.94344561103003","LINESTRING (70.79861448797378 32.93234229426058, 73.94344561103003 31.212249025737595)","352.65771001864795","PAK.5.3_1","PAK.7.5_1","F.A.T.A.","Lahore","GADM2","3.6","PK","2022-09-07 08:00","","","","","","2022-09-07"
"32.93234229426058","70.79861448797378","34.30542471242756","72.36232932451856","LINESTRING (70.79861448797378 32.93234229426058, 72.36232932451856 34.30542471242756)","210.41364854910557","PAK.5.3_1","PAK.5.7_1","F.A.T.A.","Mardan","GADM2","3.6","PK","2022-09-07 08:00","","","","","","2022-09-07"
