start_lat,start_lon,end_lat,end_lon,movement_geometry,length_km,start_polygon_id,end_polygon_id,start_polygon_name,end_polygon_name,polygon_level,polygon_version,country,date_time,n_baseline,n_crisis,n_difference,percent_change,clipped_z_score,ds
33.19520492,72.72306555,31.93734049,70.62908633,"LINESTRING (72.72306554874687 33.19520491602086, 70.62908633221942 31.93734049108809)",240.9666661,PAK.7.7_1,PAK.5.2_1,Rawalpindi,Dera Ismail Khan,GADM2,3.6,PK,29/08/2022 16:00,,,,,,29/08/2022
33.19520492,72.72306555,35.69241137,72.24693034,"LINESTRING (72.72306554874687 33.19520491602086, 72.24693033592979 35.69241137190094)",281.0875506,PAK.7.7_1,PAK.5.6_1,Rawalpindi,Malakand,GADM2,3.6,PK,29/08/2022 16:00,43.16666667,23,-20.16666667,-45.66037736,-1.476444389,29/08/2022
33.32403865,71.24562878,26.11487125,63.45987406,"LINESTRING (71.2456287788584 33.32403865221535, 63.45987406471992 26.114871247960583)",1098.274223,PAK.5.5_1,PAK.2.2_1,Kohat,Makran,GADM2,3.6,PK,29/08/2022 16:00,,,,,,29/08/2022
25.32310038,68.05136342,27.4937732,65.73513763,"LINESTRING (68.0513634220865 25.32310038372032, 65.73513763364258 27.493773199641932)",333.8527684,PAK.8.1_1,PAK.2.1_1,Hyderabad,Kalat,GADM2,3.6,PK,29/08/2022 16:00,,,,,,29/08/2022
32.10038678,71.8891581,34.30542471,72.36232932,"LINESTRING (71.88915810191632 32.10038677977812, 72.36232932451856 34.30542471242756)",249.1092954,PAK.7.8_1,PAK.5.7_1,Sargodha,Mardan,GADM2,3.6,PK,29/08/2022 16:00,,,,,,29/08/2022
28.78299392,67.82819872,25.32310038,68.05136342,"LINESTRING (67.8281987215831 28.78299391530157, 68.0513634220865 25.32310038372032)",385.3570845,PAK.2.3_1,PAK.8.1_1,Nasirabad,Hyderabad,GADM2,3.6,PK,29/08/2022 16:00,,,,,,29/08/2022
28.78299392,67.82819872,29.37744545,64.30346883,"LINESTRING (67.8281987215831 28.78299391530157, 64.30346882797684 29.377445454266713)",348.8298989,PAK.2.3_1,PAK.2.4_1,Nasirabad,Quetta,GADM2,3.6,PK,29/08/2022 16:00,,,,,,29/08/2022
31.20990509,72.62371843,28.78299392,67.82819872,"LINESTRING (72.62371843417888 31.209905085174274, 67.8281987215831 28.78299391530157)",534.7919421,PAK.7.3_1,PAK.2.3_1,Faisalabad,Nasirabad,GADM2,3.6,PK,29/08/2022 16:00,,,,,,29/08/2022
32.68247021,70.79360871,27.0398298,69.02108871,"LINESTRING (70.79360871430961 32.68247021464708, 69.0210887094943 27.03982980235053)",650.2631977,PAK.5.1_1,PAK.8.6_1,Bannu,Sukkur,GADM2,3.6,PK,29/08/2022 16:00,,,,,,29/08/2022
32.68247021,70.79360871,29.48833415,68.57004867,"LINESTRING (70.79360871430961 32.68247021464708, 68.57004866839137 29.488334147075516)",413.4694259,PAK.5.1_1,PAK.2.5_1,Bannu,Sibi,GADM2,3.6,PK,29/08/2022 16:00,,,,,,29/08/2022
32.68247021,70.79360871,27.43704665,68.88075685,"LINESTRING (70.79360871430961 32.68247021464708, 68.8807568501547 27.43704665264957)",611.5883146,PAK.5.1_1,PAK.8.5_1,Bannu,Rann of Kutch,GADM2,3.6,PK,29/08/2022 16:00,,,,,,29/08/2022
32.68247021,70.79360871,28.84891794,71.63772668,"LINESTRING (70.79360871430961 32.68247021464708, 71.63772667830045 28.848917939976854)",433.8291906,PAK.5.1_1,PAK.7.1_1,Bannu,Bahawalpur,GADM2,3.6,PK,29/08/2022 16:00,,,,,,29/08/2022
33.17001331,70.38616127,25.32310038,68.05136342,"LINESTRING (70.3861612705621 33.170013305044215, 68.0513634220865 25.32310038372032)",901.3758309,PAK.3.1_1,PAK.8.1_1,F.A.T.A.,Hyderabad,GADM2,3.6,PK,29/08/2022 16:00,,,,,,29/08/2022
33.17001331,70.38616127,33.32403865,71.24562878,"LINESTRING (70.3861612705621 33.170013305044215, 71.2456287788584 33.32403865221535)",81.7395485,PAK.3.1_1,PAK.5.5_1,F.A.T.A.,Kohat,GADM2,3.6,PK,29/08/2022 16:00,28,19,-9,-31.03448276,-0.847399024,29/08/2022
25.32310038,68.05136342,29.48833415,68.57004867,"LINESTRING (68.0513634220865 25.32310038372032, 68.57004866839137 29.488334147075516)",465.9729998,PAK.8.1_1,PAK.2.5_1,Hyderabad,Sibi,GADM2,3.6,PK,29/08/2022 16:00,,,,,,29/08/2022
32.3331629,74.07475121,30.12523865,72.23541496,"LINESTRING (74.07475121428519 32.33316289585532, 72.23541496058307 30.125238653918725)",301.4183323,PAK.7.4_1,PAK.7.6_1,Gujranwala,Multan,GADM2,3.6,PK,29/08/2022 16:00,35.5,34,-1.5,-4.109589041,-0.150376412,29/08/2022
32.10038678,71.8891581,25.07878345,67.18591129,"LINESTRING (71.88915810191632 32.10038677977812, 67.18591128987336 25.078783448780808)",905.5091831,PAK.7.8_1,PAK.8.2_1,Sargodha,Karachi,GADM2,3.6,PK,29/08/2022 16:00,,,,,,29/08/2022
32.10038678,71.8891581,33.66922471,73.06666568,"LINESTRING (71.88915810191632 32.10038677977812, 73.06666567556829 33.6692247086546)",206.2027948,PAK.7.8_1,PAK.4.1_1,Sargodha,Islamabad,GADM2,3.6,PK,29/08/2022 16:00,79.83333333,76,-3.833333333,-4.742268041,-0.107171441,29/08/2022
32.10038678,71.8891581,31.21224903,73.94344561,"LINESTRING (71.88915810191632 32.10038677977812, 73.94344561103003 31.212249025737595)",218.075257,PAK.7.8_1,PAK.7.5_1,Sargodha,Lahore,GADM2,3.6,PK,29/08/2022 16:00,181,146,-35,-19.23076923,-0.814967871,29/08/2022
